archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Hardened Scales,0.52941176470588,34,0.35,0.7,/Modern/hardened-scales
Indomitable Creativity,0.45454545454545,33,0.28,0.64,/Modern/indomitable-creativity
Gruul Aggro,0.38709677419355,31,0.22,0.58,/Modern/gruul-aggro
Rakdos Channeler,0.41935483870968,31,0.25,0.61,/Modern/rakdos-channeler
4 Color Helga,0.41935483870968,31,0.25,0.61,/Modern/4-color-helga
Grixis Death's Shadow,0.23333333333333,30,0.1,0.42,/Modern/grixis-death-s-shadow
Twiddle Storm,0.36666666666667,30,0.2,0.56,/Modern/twiddle-storm
Domain Cascade,0.5,30,0.31,0.69,/Modern/domain-cascade
Selesnya Ritual,0.36666666666667,30,0.2,0.56,/Modern/selesnya-ritual
Heliod Company,0.58620689655172,29,0.39,0.76,/Modern/heliod-company
Boros Ephemerate,0.53571428571429,28,0.34,0.72,/Modern/boros-ephemerate
Rakdos Arcanist,0.48148148148148,27,0.29,0.68,/Modern/rakdos-arcanist
Dimir Cookbook,0.44444444444444,27,0.25,0.65,/Modern/dimir-cookbook
Dimir Reanimator,0.37037037037037,27,0.19,0.58,/Modern/dimir-reanimator
Rakdos Burn,0.32,25,0.15,0.54,/Modern/rakdos-burn
Mardu Reanimator,0.32,25,0.15,0.54,/Modern/mardu-reanimator
Death and Taxes,0.41666666666667,24,0.22,0.63,/Modern/death-and-taxes
Esper Control,0.47826086956522,23,0.27,0.69,/Modern/esper-control
Elementals,0.5,22,0.28,0.72,/Modern/elementals
Dimir Oculus,0.45454545454545,22,0.24,0.68,/Modern/dimir-oculus
Rakdos Midrange,0.61904761904762,21,0.38,0.82,/Modern/rakdos-midrange
Temur Omniscience,0.38095238095238,21,0.18,0.62,/Modern/temur-omniscience
Izzet Lutri,0.45,20,0.23,0.68,/Modern/izzet-lutri
Omnath Control,0.5,20,0.27,0.73,/Modern/omnath-control
Gruul Chord,0.65,20,0.41,0.85,/Modern/gruul-chord
Gifts Storm,0.63157894736842,19,0.38,0.84,/Modern/gifts-storm
Temur Prowess,0.47368421052632,19,0.24,0.71,/Modern/temur-prowess
4 Color Phlage,0.36842105263158,19,0.16,0.62,/Modern/4-color-phlage
Mardu Ephemerate,0.33333333333333,18,0.13,0.59,/Modern/mardu-ephemerate
4 Color Control,0.5625,16,0.3,0.8,/Modern/4-color-control
Esper Death's Shadow,0.53333333333333,15,0.27,0.79,/Modern/esper-death-s-shadow
Esper Flash,0.6,15,0.32,0.84,/Modern/esper-flash
Mono Blue Eldrazi,0.53333333333333,15,0.27,0.79,/Modern/mono-blue-eldrazi
Grixis Creativity,0.4,15,0.16,0.68,/Modern/grixis-creativity
Jeskai Cori-Steel,0.6,15,0.32,0.84,/Modern/jeskai-cori-steel
Elves,0.35714285714286,14,0.13,0.65,/Modern/elves
Slivers,0.42857142857143,14,0.18,0.71,/Modern/slivers
Glimpse of Tomorrow,0.30769230769231,13,0.09,0.61,/Modern/glimpse-of-tomorrow
Grixis Lutri,0.46153846153846,13,0.19,0.75,/Modern/grixis-lutri
Asmo Food,0.38461538461538,13,0.14,0.68,/Modern/asmo-food
Colorless Eldrazi,0.69230769230769,13,0.39,0.91,/Modern/colorless-eldrazi
Domain Living End,0.69230769230769,13,0.39,0.91,/Modern/domain-living-end
Jund Midrange,0.41666666666667,12,0.15,0.72,/Modern/jund-midrange
Dimir Death's Shadow,0.41666666666667,12,0.15,0.72,/Modern/dimir-death-s-shadow
Vizier,0.36363636363636,11,0.11,0.69,/Modern/vizier
Golgari Coffers,0.36363636363636,11,0.11,0.69,/Modern/golgari-coffers
GW Auras,0.1,10,0.0,0.45,/Modern/gw-auras
Mardu Control,0.6,10,0.26,0.88,/Modern/mardu-control
Mono Black Coffers,0.5,10,0.19,0.81,/Modern/mono-black-coffers
Prison Tron,0.44444444444444,9,0.14,0.79,/Modern/prison-tron
Phoenix Red,0.22222222222222,9,0.03,0.6,/Modern/phoenix-red
Naya Aggro,0.33333333333333,9,0.07,0.7,/Modern/naya-aggro
Mardu Land Destruction,0.22222222222222,9,0.03,0.6,/Modern/mardu-land-destruction
Mystic Tron,0.55555555555556,9,0.21,0.86,/Modern/mystic-tron
Thud Combo,0.44444444444444,9,0.14,0.79,/Modern/thud-combo
Titan Valakut,0.125,8,0.0,0.53,/Modern/titan-valakut
Temur Scapeshift,0.5,8,0.16,0.84,/Modern/temur-scapeshift
Grixis Pyromancer,0.625,8,0.24,0.91,/Modern/grixis-pyromancer
Mono White Ephemerate,0.25,8,0.03,0.65,/Modern/mono-white-ephemerate
Calibrated Blast,0.25,8,0.03,0.65,/Modern/calibrated-blast
Azorius Flash,0.375,8,0.09,0.76,/Modern/azorius-flash
Thopter Control,0.375,8,0.09,0.76,/Modern/thopter-control
Gruul Karn,0.625,8,0.24,0.91,/Modern/gruul-karn
Inti's Cookbook,0.375,8,0.09,0.76,/Modern/inti-s-cookbook
Esper Ketramose Frog,0.5,8,0.16,0.84,/Modern/esper-ketramose-frog
Grixis Weapons,0.125,8,0.0,0.53,/Modern/grixis-weapons
Oops! All Spells,0.28571428571429,7,0.04,0.71,/Modern/oops-all-spells
Bring to Light,0.42857142857143,7,0.1,0.82,/Modern/bring-to-light
Rakdos Waste Not,0.28571428571429,7,0.04,0.71,/Modern/rakdos-waste-not
Gruul Ponza,0.28571428571429,7,0.04,0.71,/Modern/gruul-ponza
Titanless Amulet,0.42857142857143,7,0.1,0.82,/Modern/titanless-amulet
Spirits,0.16666666666667,6,0.0,0.64,/Modern/spirits
Saheeli Combo,0.5,6,0.12,0.88,/Modern/saheeli-combo
Mono Blue Tempo,0.16666666666667,6,0.0,0.64,/Modern/mono-blue-tempo
Izzet Energy,0.83333333333333,6,0.36,1.0,/Modern/izzet-energy
Mardu Blink,0.5,6,0.12,0.88,/Modern/mardu-blink
4 Color Ephemerate,0.5,6,0.12,0.88,/Modern/4-color-ephemerate
Temur Weapons,0.16666666666667,6,0.0,0.64,/Modern/temur-weapons
Izzet Shapeshifters,0.5,6,0.12,0.88,/Modern/izzet-shapeshifters
Naya Ephemerate,0.4,5,0.05,0.85,/Modern/naya-ephemerate
Grixis Tempo,0.4,5,0.05,0.85,/Modern/grixis-tempo
Azorius Artifacts,0.6,5,0.15,0.95,/Modern/azorius-artifacts
Mardu Burn,0.2,5,0.01,0.72,/Modern/mardu-burn
Rakdos Pyromancer,0.6,5,0.15,0.95,/Modern/rakdos-pyromancer
Bant Reclamation,0.25,4,0.01,0.81,/Modern/bant-reclamation
GW Midrange,0.25,4,0.01,0.81,/Modern/gw-midrange
Through the Breach,0.5,4,0.07,0.93,/Modern/through-the-breach
Mono Red Lutri,0.5,4,0.07,0.93,/Modern/mono-red-lutri
Mono Blue Turns,0.33333333333333,3,0.01,0.91,/Modern/mono-blue-turns
Timeless Amulet,0.66666666666667,3,0.09,0.99,/Modern/timeless-amulet
Mono Black Cookbook,0.33333333333333,3,0.01,0.91,/Modern/mono-black-cookbook
Jund Delirium,0.5,2,0.01,0.99,/Modern/jund-delirium
