archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Grixis Creativity,0.55555555555556,9,0.21,0.86,/Modern/grixis-creativity
Thud Combo,0.44444444444444,9,0.14,0.79,/Modern/thud-combo
Gruul Aggro,0.42857142857143,7,0.1,0.82,/Modern/gruul-aggro
Mono Blue Eldrazi,0.71428571428571,7,0.29,0.96,/Modern/mono-blue-eldrazi
Grixis Control,0.57142857142857,7,0.18,0.9,/Modern/grixis-control
Gruul Ponza,0.28571428571429,7,0.04,0.71,/Modern/gruul-ponza
Mono Red Prowess,0.42857142857143,7,0.1,0.82,/Modern/mono-red-prowess
Soultrader,0.42857142857143,7,0.1,0.82,/Modern/soultrader
Vizier,0.16666666666667,6,0.0,0.64,/Modern/vizier
Saheeli Combo,0.5,6,0.12,0.88,/Modern/saheeli-combo
Mardu Control,0.5,6,0.12,0.88,/Modern/mardu-control
Izzet Control,0.83333333333333,6,0.36,1.0,/Modern/izzet-control
Dimir Reanimator,0.5,6,0.12,0.88,/Modern/dimir-reanimator
Selesnya Ritual,0.33333333333333,6,0.04,0.78,/Modern/selesnya-ritual
Jund Creativity,0.33333333333333,6,0.04,0.78,/Modern/jund-creativity
Red Belcher,0.66666666666667,6,0.22,0.96,/Modern/red-belcher
Goblins,0.4,5,0.05,0.85,/Modern/goblins
Mono White Control,0.8,5,0.28,0.99,/Modern/mono-white-control
Heliod Company,0.4,5,0.05,0.85,/Modern/heliod-company
Grixis Tempo,0.4,5,0.05,0.85,/Modern/grixis-tempo
Mardu Reanimator,0.2,5,0.01,0.72,/Modern/mardu-reanimator
Esper Control,0.4,5,0.05,0.85,/Modern/esper-control
Mono Black Bones,0.6,5,0.15,0.95,/Modern/mono-black-bones
Grixis Weapons,0.25,4,0.01,0.81,/Modern/grixis-weapons
Lantern Control,0.66666666666667,3,0.09,0.99,/Modern/lantern-control
Izzet Shapeshifters,0.5,2,0.01,0.99,/Modern/izzet-shapeshifters
