archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Pandeburst Control,0.4375,16,0.2,0.7,/Premodern/pandeburst-control
Spec Midrange,0.625,16,0.35,0.85,/Premodern/spec-midrange
Mono Blue Flyers,0.46666666666667,15,0.21,0.73,/Premodern/mono-blue-flyers
Doomsday,0.35714285714286,14,0.13,0.65,/Premodern/doomsday
GW Aggro,0.61538461538462,13,0.32,0.86,/Premodern/gw-aggro
5 Color Control,0.5,12,0.21,0.79,/Premodern/5-color-control
GWR Aggro,0.5,12,0.21,0.79,/Premodern/gwr-aggro
Pyrostatic Oath,0.45454545454545,11,0.17,0.77,/Premodern/pyrostatic-oath
Mono White Control,0.6,10,0.26,0.88,/Premodern/mono-white-control
UB Control,0.44444444444444,9,0.14,0.79,/Premodern/ub-control
Mono Blue Control,0.33333333333333,9,0.07,0.7,/Premodern/mono-blue-control
Pattern Combo,0.44444444444444,9,0.14,0.79,/Premodern/pattern-combo
Mono Green Order,0.5,8,0.16,0.84,/Premodern/mono-green-order
Minotaurs,0.625,8,0.24,0.91,/Premodern/minotaurs
Form of Dragon,0.57142857142857,7,0.18,0.9,/Premodern/form-of-dragon
RW Aggro,0.28571428571429,7,0.04,0.71,/Premodern/rw-aggro
Dragonstorm,0.28571428571429,7,0.04,0.71,/Premodern/dragonstorm
Cephalid Breakfast,0.57142857142857,7,0.18,0.9,/Premodern/cephalid-breakfast
Soldiers,0.42857142857143,7,0.1,0.82,/Premodern/soldiers
Draco Blast,0.66666666666667,6,0.22,0.96,/Premodern/draco-blast
Balancing Tings,1.0,6,0.54,1.0,/Premodern/balancing-tings
Dreams Ponza,0.16666666666667,6,0.0,0.64,/Premodern/dreams-ponza
Dredgeless Dredge,1.0,5,0.48,1.0,/Premodern/dredgeless-dredge
Tainted Pact,0.2,5,0.01,0.72,/Premodern/tainted-pact
Battle of Wits,0.5,4,0.07,0.93,/Premodern/battle-of-wits
UW Prison,0.75,4,0.19,0.99,/Premodern/uw-prison
Great Combo,1.0,3,0.29,1.0,/Premodern/great-combo
Pox,0.33333333333333,3,0.01,0.91,/Premodern/pox
Manabond,0.33333333333333,3,0.01,0.91,/Premodern/manabond
