archetype,overall_winrate,overall_matches,overall_ci_low,overall_ci_high,url_relative
Tireless Tribe Combo,0.56521739130435,69,0.44,0.68,/Premodern/tireless-tribe-combo
Ponza,0.50746268656716,67,0.38,0.63,/Premodern/ponza
The Rack,0.53333333333333,60,0.4,0.66,/Premodern/the-rack
Angry Hermit,0.56666666666667,60,0.43,0.69,/Premodern/angry-hermit
Iggy Pop,0.375,56,0.25,0.51,/Premodern/iggy-pop
UW Control,0.54,50,0.39,0.68,/Premodern/uw-control
GR Aggro,0.375,48,0.24,0.53,/Premodern/gr-aggro
Slivers,0.45652173913043,46,0.31,0.61,/Premodern/slivers
Astral Slide,0.4,45,0.26,0.56,/Premodern/astral-slide
Survival Rock,0.4047619047619,42,0.26,0.57,/Premodern/survival-rock
BUG Control,0.51428571428571,35,0.34,0.69,/Premodern/bug-control
Survival Welder,0.41176470588235,34,0.25,0.59,/Premodern/survival-welder
Mono Green Stompy,0.55882352941176,34,0.38,0.73,/Premodern/mono-green-stompy
Suicide,0.4375,32,0.26,0.62,/Premodern/suicide
UW Midrange,0.53125,32,0.35,0.71,/Premodern/uw-midrange
Fluctuator,0.43333333333333,30,0.25,0.63,/Premodern/fluctuator
Zombie Infestation,0.46666666666667,30,0.28,0.66,/Premodern/zombie-infestation
Pattern Combo,0.56666666666667,30,0.37,0.75,/Premodern/pattern-combo
Lands,0.28571428571429,28,0.13,0.49,/Premodern/lands
Threshold,0.46153846153846,26,0.27,0.67,/Premodern/threshold
Tron,0.46153846153846,26,0.27,0.67,/Premodern/tron
Zombies,0.34615384615385,26,0.17,0.56,/Premodern/zombies
Broccoli Soup,0.34615384615385,26,0.17,0.56,/Premodern/broccoli-soup
Temping Rack,0.34615384615385,26,0.17,0.56,/Premodern/temping-rack
Oath,0.48,25,0.28,0.69,/Premodern/oath
Dream Halls,0.5,24,0.29,0.71,/Premodern/dream-halls
Oath Control,0.41666666666667,24,0.22,0.63,/Premodern/oath-control
UR Control,0.27272727272727,22,0.11,0.5,/Premodern/ur-control
GW Midrange,0.28571428571429,21,0.11,0.52,/Premodern/gw-midrange
Rebels,0.65,20,0.41,0.85,/Premodern/rebels
Life,0.44444444444444,18,0.22,0.69,/Premodern/life
Sneak Attack,0.52941176470588,17,0.28,0.77,/Premodern/sneak-attack
Merfolks,0.1875,16,0.04,0.46,/Premodern/merfolks
5 Color Control,0.5,16,0.25,0.75,/Premodern/5-color-control
Mono Blue Flyers,0.46666666666667,15,0.21,0.73,/Premodern/mono-blue-flyers
Fires,0.5,14,0.23,0.77,/Premodern/fires
Doomsday,0.35714285714286,14,0.13,0.65,/Premodern/doomsday
Pyrostatic Oath,0.69230769230769,13,0.39,0.91,/Premodern/pyrostatic-oath
Jund,0.58333333333333,12,0.28,0.85,/Premodern/jund
GWR Aggro,0.5,12,0.21,0.79,/Premodern/gwr-aggro
Balancing Tings,0.27272727272727,11,0.06,0.61,/Premodern/balancing-tings
UWG Control,0.54545454545455,11,0.23,0.83,/Premodern/uwg-control
GW Madness,0.36363636363636,11,0.11,0.69,/Premodern/gw-madness
Pandeburst Control,0.45454545454545,11,0.17,0.77,/Premodern/pandeburst-control
RW Aggro,0.4,10,0.12,0.74,/Premodern/rw-aggro
Mono White Control,0.6,10,0.26,0.88,/Premodern/mono-white-control
Mono Black Ponza,0.6,10,0.26,0.88,/Premodern/mono-black-ponza
GW Aggro,0.55555555555556,9,0.21,0.86,/Premodern/gw-aggro
Form of Dragon,0.57142857142857,7,0.18,0.9,/Premodern/form-of-dragon
Dragonstorm,0.28571428571429,7,0.04,0.71,/Premodern/dragonstorm
Cephalid Breakfast,0.57142857142857,7,0.18,0.9,/Premodern/cephalid-breakfast
UWB Control,0.28571428571429,7,0.04,0.71,/Premodern/uwb-control
Soldiers,0.42857142857143,7,0.1,0.82,/Premodern/soldiers
Draco Blast,0.66666666666667,6,0.22,0.96,/Premodern/draco-blast
Mono Green Order,0.5,6,0.12,0.88,/Premodern/mono-green-order
Dreams Ponza,0.16666666666667,6,0.0,0.64,/Premodern/dreams-ponza
Dredgeless Dredge,1.0,5,0.48,1.0,/Premodern/dredgeless-dredge
UB Control,0.5,4,0.07,0.93,/Premodern/ub-control
Mono Blue Control,0.5,4,0.07,0.93,/Premodern/mono-blue-control
Great Combo,1.0,3,0.29,1.0,/Premodern/great-combo
Manabond,0.33333333333333,3,0.01,0.91,/Premodern/manabond
